T_K,P_atm,rho_kg_m3,h_J_kg,cp_J_kgK
22300.0,0.1,0.0008901135434676108,98256001.97054698,15425.5867539021
22500.0,0.1,0.0008697057909330458,101339163.34938316,15340.994834188372
22700.0,0.1,0.000850160670028592,104392399.90422232,15130.994083075002
22900.0,0.1,0.0008315259547927829,107391560.98261316,14806.752614107168
23100.0,0.1,0.0008138293374327195,110315100.94986519,14382.713963492959
23300.0,0.1,0.0007970798646960549,113144646.56801035,13875.65828509789
23500.0,0.1,0.0007812700038699158,115865364.26390435,13303.690592070594
23700.0,0.1,0.0007663781088604598,118466122.80483858,12685.253742220588
23900.0,0.1,0.0007523710694102521,120939465.76079258,12038.250470587163
24100.0,0.1,0.000739206956036325,123281422.99307345,11379.334873591699
24300.0,0.1,0.000726837513191543,125491199.71022926,10723.405151442661
24500.0,0.1,0.0007152103969340906,127570785.05365051,10083.30185447201
24700.0,0.1,0.000704271095506698,129524520.45201807,9469.693648166134
24900.0,0.1,0.0006939645077586677,131358662.51291697,8891.117922328523
25100.0,0.1,0.0006842361831340475,133080967.62094948,8354.136635214798
25300.0,0.1,0.0006750332474114065,134700317.1670029,7863.567376987189
25500.0,0.1,0.0006663050510879776,136226394.57174435,7422.753808643296
25700.0,0.1,0.0006580035835273448,137669418.6904602,7033.846339338422
25900.0,0.1,0.0006500836972956403,139039933.10747972,6698.071424492225
26100.0,0.1,0.0006425031850400655,140348647.2602571,6415.974982515722
26300.0,0.1,0.0006352227471556605,141606323.100486,6187.631438958645
26500.0,0.1,0.0006282058833928575,142823699.83584055,6012.814536595121
26700.0,0.1,0.0006214187362323503,144011448.91512406,5891.12931560263
26900.0,0.1,0.0006148299087780492,145180151.5620816,5822.106758194193
27100.0,0.1,0.0006084102753607686,146340291.61840174,5805.2637701299045
27300.0,0.1,0.0006021327991099292,147502257.07013357,5840.131710672527
27500.0,0.1,0.0005959723674316414,148676344.30267075,5926.256829462796
27700.0,0.1,0.0005899056535524944,149872759.8019187,6063.17592671834
27900.0,0.1,0.0005839110099342614,151101614.67335808,6250.370476956963
28100.0,0.1,0.0005779683973058997,152372907.99270147,6487.202455294802
28300.0,0.1,0.0005720593511698218,153696495.655476,6772.835245886519
28500.0,0.1,0.0005661669858119627,155082042.09105608,7106.143322107941
28700.0,0.1,0.0005602760340016637,156538952.98431918,7485.614859903157
28900.0,0.1,0.0005543729186700591,158076288.03501734,7909.252037707343
29100.0,0.1,0.0005484458509143725,159702653.79940212,8374.474416417852
29300.0,0.1,0.0005424849467511266,161426077.80158448,8878.031382856741
29500.0,0.1,0.0005364823532458508,163253866.3525448,9415.930064279959
29700.0,0.1,0.0005304323731345322,165192449.82729647,9984.36813115716
29900.0,0.1,0.0005243315760028173,167247613.60500768,10424.862692784865
30000.0,0.1,0.000521261690632197,168319908.63513193,10722.95030124247
300.0,1.0,1.6227670349312013,156099.1162298976,520.3303874329919
500.0,1.0,0.9736602210921348,260165.19371649597,520.330387432992
700.0,1.0,0.6954715863882217,364231.2712030944,520.3303874329919
900.0,1.0,0.5409223449684437,468297.34868969274,520.330387432992
1100.0,1.0,0.442572827701451,572363.4261762912,520.3303874329924
1300.0,1.0,0.37448470177481835,676429.5036628897,520.330387432992
1500.0,1.0,0.3245534073479243,780495.581149488,520.3303874329918
1700.0,1.0,0.28637065333225087,884561.6586360864,520.330387432992
1900.0,1.0,0.256226373972738,988627.7361226848,520.3303874329926
2100.0,1.0,0.23182386214525227,1092693.8136092834,520.3303874330071
2300.0,1.0,0.21166526542929165,1196759.8910958876,520.3303874333989
2500.0,1.0,0.194732044191814,1300825.968582643,520.3303874397627
2700.0,1.0,0.18030744832436346,1404892.0460717927,520.3303875098832
2900.0,1.0,0.16787245188743588,1508958.1235865962,520.3303880734009
3100.0,1.0,0.15704197111928628,1613024.201301153,520.3303915663739
3300.0,1.0,0.14752427589449976,1717090.2802131458,520.3304090074462
3500.0,1.0,0.13909431724681826,1821156.3649041315,520.3304816093121
3700.0,1.0,0.13157570540377428,1925222.4728568706,520.3307405968203
3900.0,1.0,0.124828232987967,2029288.6611428596,520.3315502179315
4100.0,1.0,0.11873904984820144,2133355.092944043,520.333809302476
4300.0,1.0,0.11321630050506437,2237422.18486385,520.3395219438022
4500.0,1.0,0.10818445789017839,2341490.901721564,520.3527809199563
4700.0,1.0,0.10358084785637743,2445563.2972318325,520.3813296958339
4900.0,1.0,0.09935302392554342,2549643.4335998977,520.4388725398189
5100.0,1.0,0.09545675850432601,2653738.84624776,520.5482828957204
5300.0,1.0,0.09185448731841594,2757862.746758186,520.7458176265086
5500.0,1.0,0.0885140912820982,2862037.1732983636,521.0863833134971
5700.0,1.0,0.08540793252688302,2966297.3000835846,521.6498277791217
5900.0,1.0,0.08251208393436586,3070697.1044100123,522.5481543064105
6100.0,1.0,0.07980570749421279,3175316.561806149,523.9334861769632
6300.0,1.0,0.07727054824409653,3280270.4988807975,526.0065521315508
6500.0,1.0,0.07489051883587791,3385719.182658769,529.0254238308023
6700.0,1.0,0.0726513558451913,3491880.6684131185,533.3142164133536
6900.0,1.0,0.0705403334362013,3599044.8692241106,539.2714625944034
7100.0,1.0,0.0685460233500334,3707589.25345088,547.3778872155026
7300.0,1.0,0.06665809271323576,3817996.0241103116,558.2033393418113
7500.0,1.0,0.06486713308163534,3930870.5891876044,572.4126786985435
7700.0,1.0,0.06316451560370465,4046961.095589729,590.7704578952084
7900.0,1.0,0.06154226832154233,4167178.7723456877,614.1442870854261
8100.0,1.0,0.05999297251156985,4292618.810423899,643.5068090286327
8300.0,1.0,0.058509675663420975,4424581.495957141,679.9362457495486
8500.0,1.0,0.057085819249995555,4564593.308723719,724.6154989279877
8700.0,1.0,0.05571517988740099,4714427.695528336,778.8297903162055
8900.0,1.0,0.05439182284400198,4876125.224850201,843.9628109150566
9100.0,1.0,0.053110067148824144,5052012.8198943585,921.4913025933644
9300.0,1.0,0.051864461780938745,5244721.745887547,1012.9779164939839
9500.0,1.0,0.050649772598093105,5457203.986491952,1120.0620709601744
9700.0,1.0,0.04946097978570755,5692746.5742716165,1244.4483587403527
9900.0,1.0,0.048293285674234,5954983.329988093,1387.8918190000602
10100.0,1.0,0.04714213277894791,6247903.301871641,1552.1790844651475
10300.0,1.0,0.046003231854759345,6575854.963774152,1739.1040297745308
10500.0,1.0,0.04487259962141323,6943544.913781453,1950.4360803328454
10700.0,1.0,0.04374660559261006,7356029.39590729,2187.8787971310226
10900.0,1.0,0.042622027127426514,7818696.432633862,2453.0157537083187
11100.0,1.0,0.04149611140661559,8337235.697390618,2747.240114672808
11300.0,1.0,0.04036664251572858,8917592.478502985,3071.663800046281
11500.0,1.0,0.03923201119294633,9565901.21740913,3427.001825397052
11700.0,1.0,0.038091284082488894,10288393.208661806,3813.4275766680857
11900.0,1.0,0.036944268548785776,11091272.248076364,4230.395747983139
12100.0,1.0,0.03579156829621671,11980551.507855061,4676.431894734833
12300.0,1.0,0.034634624274985926,12961845.005970297,5148.891588162007
12500.0,1.0,0.03347573474034505,14040108.143119864,5643.698583039325
12700.0,1.0,0.032318048013915524,15219324.439186027,6155.080665508085
12900.0,1.0,0.031165521655449835,16502140.409323098,6675.333920973665
13100.0,1.0,0.03002284260250689,17889458.007575493,7194.660130074085
13300.0,1.0,0.02889530458594454,19380004.461352732,7701.135485536847
13500.0,1.0,0.027788641941232064,20969912.201790232,8180.87755634604
13700.0,1.0,0.02670882284189823,22652355.483891148,8618.475326166685
13900.0,1.0,0.02566180979398413,24417302.332256906,8997.727419226932
14100.0,1.0,0.024653300458087613,26251446.45158192,9302.691379851456
14300.0,1.0,0.023688466686121696,28138378.88419749,9518.982833935721
14500.0,1.0,0.022771712999454595,30059039.58515621,9635.187601818563
14700.0,1.0,0.02190647649167408,31992453.924924914,9644.182722671925
14900.0,1.0,0.021095087529240084,33916712.67422498,9544.130199218122
15100.0,1.0,0.020338704549079146,35810106.00461216,9338.93214591574
15300.0,1.0,0.01963732752214798,37652285.532591276,9038.023398890291
15500.0,1.0,0.018989884896975298,39425315.36416828,8655.50901309833
15700.0,1.0,0.018394380083587698,41114489.13783061,8208.790846670829
15900.0,1.0,0.017848077578098816,42708831.70283661,7716.926288738959
16100.0,1.0,0.017347706654950282,44201259.65332619,7198.994085587412
16300.0,1.0,0.016889662113491435,45588429.337071575,6672.704239770677
16500.0,1.0,0.0164701859097071,46870341.34923446,6153.402652905397
16700.0,1.0,0.01608551922633645,48049790.398233734,5653.519935562723
16900.0,1.0,0.01573202026514537,49131749.32345955,5182.4276488390005
17100.0,1.0,0.0154062477996507,50122761.457769334,4746.611110806521
17300.0,1.0,0.015105013831881325,51030393.76778216,4350.048146789465
17500.0,1.0,0.014825410525045926,51862780.71648512,3994.6900524654425
17700.0,1.0,0.014564817191240488,52628269.788768336,3680.963059014473
17900.0,1.0,0.014320892870638926,53335165.94009091,3408.2353246927446
18100.0,1.0,0.014091559308265613,53991563.918645434,3175.218933080621
18300.0,1.0,0.013874978204142815,54605253.51332316,2980.2951771242356
18500.0,1.0,0.013669525676632729,55183681.98949513,2821.7638684182984
18700.0,1.0,0.01347376604758674,55733959.06069048,2698.0243778439426
18900.0,1.0,0.013286426379229837,56262891.740632705,2607.699014041517
19100.0,1.0,0.013106372673866693,56777038.666307084,2549.7096076336315
19300.0,1.0,0.012932588273447794,57282775.58368616,2523.3169506864438
19500.0,1.0,0.012764154741909674,57786365.44658166,2528.1308686080574
19700.0,1.0,0.012600235351936311,58294027.93112938,2564.09670724947
19900.0,1.0,0.012440061204059098,58812004.12948145,2631.462215541657
20100.0,1.0,0.012282919957801633,59346612.817346044,2730.7273636144587
20300.0,1.0,0.01212814713342431,59904295.07492723,2862.578642973024
20500.0,1.0,0.011975119933465285,60491644.27453525,3027.8088857654297
20700.0,1.0,0.01182325352320902,61115418.629233405,3227.2236207315327
20900.0,1.0,0.011671999688482742,61782533.72282787,3461.535433245562
21100.0,1.0,0.011520847750499356,62500032.80253163,3731.2486597380603
21300.0,1.0,0.01136932755675675,63275033.18672309,4036.5379199589415
21500.0,1.0,0.011217014284157167,64114647.97051521,4377.125316244364
21700.0,1.0,0.011063534690135676,65025883.313220836,4752.162396624647
21900.0,1.0,0.010908574339364745,66015512.929165065,5160.123944408633
22100.0,1.0,0.010751885231772725,67089932.89098429,5598.721082879641
22300.0,1.0,0.01059329317934545,68255001.36231692,6064.840889401678
22500.0,1.0,0.010432704241800119,69515869.24674496,6554.518628656529
22700.0,1.0,0.010270109548642051,70876808.81377953,7062.946915310845
22900.0,1.0,0.010105587914398632,72341048.0128693,7584.523820796274
23100.0,1.0,0.009939305792750196,73910618.34209804,8112.939466188587
23300.0,1.0,0.009771514301889028,75586223.79934473,8641.298333543093
23500.0,1.0,0.009602543267856267,77367137.67551528,9162.272653885559
23700.0,1.0,0.009432792450689537,79251132.86089896,9668.280927822254
23900.0,1.0,0.009262720316141797,81234450.04664418,10151.68488116663
24100.0,1.0,0.009092830874138886,83311806.81336561,10604.997800795472
24300.0,1.0,0.008923659211849589,85476449.16696237,11021.097024583816
24500.0,1.0,0.008755756400062539,87720245.62319914,11393.43319223199
24700.0,1.0,0.008589674449352686,90033822.44385517,11716.228619191572
24900.0,1.0,0.008425951945123376,92406737.07087576,11984.656883992515
25100.0,1.0,0.008265100908510514,94827685.19745217,12194.995591065586
25300.0,1.0,0.008107595324417717,97284735.307302,12344.74452556517
25500.0,1.0,0.007953861658935258,99765583.00767824,12432.702284487785
25700.0,1.0,0.007804271565018985,102257816.22109711,12458.996097084284
25900.0,1.0,0.007659136854973163,104749181.44651195,12425.061943968758
26100.0,1.0,0.007518706707019663,107227840.99868461,12333.575091088005
26300.0,1.0,0.007383166975865373,109682611.48294716,12188.334468408153
26500.0,1.0,0.007252641397383175,112103174.78604788,11994.107547544874
